Code,Length
AL,28
AD,24
AT,20
BE,16
BA,20
BR,29
BG,22
CY,28
FO,18
GL,18
DK,18
EE,20
FI,18
FR,27
DE,22
GI,23
GR,27
HU,28
IS,26
IE,22
IL,23
IT,27
JO,30
XK,20
LI,21
LT,20
MT,31
MR,27
MU,30
MC,27
NL,18
NO,15
PL,28
PT,25
SM,27
SI,19
ES,24
SE,24
CH,21
TN,24
TR,26
GB,22
UA,29
AZ,28
BH,22
CR,22
HR,21
CZ,24
DO,28
EG,29
GE,22
GT,28
KZ,20
KW,30
LV,21
LB,28
LU,20
MK,19
MD,24
ME,22
PK,24
PS,29
QA,29
RO,24
LC,32
ST,25
SA,24
RS,22
SK,24
TL,23
AE,23
VA,22
VG,24
SC,31
IQ,23
BY,28
SV,28
